"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SPICEPREFIX";
"R7";"22k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R8";"22k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R9";"22k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R10";"680R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R11";"680R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R12";"680R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R13";"22k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R14";"680R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";
"R15";"680R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";
"R16";"22K";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";
"R17";"22k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";
"RN1";"22k";"G08R";"SIL9";"SIL RESISTOR";"";"";"unknown";"unknown";"6";"";"";
"RN2";"22k";"G08R";"SIL9";"SIL RESISTOR";"";"";"unknown";"unknown";"6";"";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"S3";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"33";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"33";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"33";"";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"33";"";"";
"U$1";"MCP2221A-I/P";"MCP2221A-I/P";"DIL14";"";"";"";"";"";"";"";"";
"X1";"";"ISA-SLOT";"ISA-8";"ISA SLOT";"";"";"";"";"";"";"";
"X2";"";"ISA-SLOT";"ISA-8";"ISA SLOT";"";"";"";"";"";"";"";
"X3";"";"ISA-SLOT";"ISA-8";"ISA SLOT";"";"";"";"";"";"";"";
"X4";"";"MINI_DIN_6";"M_DIN6";"";"";"";"";"";"";"";"";
